log_melspec_mean_1,log_melspec_mean_2,log_melspec_mean_3,log_melspec_mean_4,log_melspec_mean_5,log_melspec_mean_6,log_melspec_mean_7,log_melspec_mean_8,log_melspec_mean_9,log_melspec_mean_10,log_melspec_mean_11,log_melspec_mean_12,log_melspec_mean_13,log_melspec_mean_14,log_melspec_mean_15,log_melspec_mean_16,log_melspec_mean_17,log_melspec_mean_18,log_melspec_mean_19,log_melspec_mean_20,log_melspec_mean_21,log_melspec_mean_22,log_melspec_mean_23,log_melspec_mean_24,log_melspec_mean_25,log_melspec_mean_26,log_melspec_mean_27,log_melspec_mean_28,log_melspec_mean_29,log_melspec_mean_30,log_melspec_mean_31,log_melspec_mean_32,log_melspec_mean_33,log_melspec_mean_34,log_melspec_mean_35,log_melspec_mean_36,log_melspec_mean_37,log_melspec_mean_38,log_melspec_mean_39,log_melspec_mean_40,log_melspec_mean_41,log_melspec_mean_42,log_melspec_mean_43,log_melspec_mean_44,log_melspec_mean_45,log_melspec_mean_46,log_melspec_mean_47,log_melspec_mean_48,log_melspec_mean_49,log_melspec_mean_50,log_melspec_mean_51,log_melspec_mean_52,log_melspec_mean_53,log_melspec_mean_54,log_melspec_mean_55,log_melspec_mean_56,log_melspec_mean_57,log_melspec_mean_58,log_melspec_mean_59,log_melspec_mean_60,log_melspec_mean_61,log_melspec_mean_62,log_melspec_mean_63,log_melspec_mean_64,log_melspec_std_1,log_melspec_std_2,log_melspec_std_3,log_melspec_std_4,log_melspec_std_5,log_melspec_std_6,log_melspec_std_7,log_melspec_std_8,log_melspec_std_9,log_melspec_std_10,log_melspec_std_11,log_melspec_std_12,log_melspec_std_13,log_melspec_std_14,log_melspec_std_15,log_melspec_std_16,log_melspec_std_17,log_melspec_std_18,log_melspec_std_19,log_melspec_std_20,log_melspec_std_21,log_melspec_std_22,log_melspec_std_23,log_melspec_std_24,log_melspec_std_25,log_melspec_std_26,log_melspec_std_27,log_melspec_std_28,log_melspec_std_29,log_melspec_std_30,log_melspec_std_31,log_melspec_std_32,log_melspec_std_33,log_melspec_std_34,log_melspec_std_35,log_melspec_std_36,log_melspec_std_37,log_melspec_std_38,log_melspec_std_39,log_melspec_std_40,log_melspec_std_41,log_melspec_std_42,log_melspec_std_43,log_melspec_std_44,log_melspec_std_45,log_melspec_std_46,log_melspec_std_47,log_melspec_std_48,log_melspec_std_49,log_melspec_std_50,log_melspec_std_51,log_melspec_std_52,log_melspec_std_53,log_melspec_std_54,log_melspec_std_55,log_melspec_std_56,log_melspec_std_57,log_melspec_std_58,log_melspec_std_59,log_melspec_std_60,log_melspec_std_61,log_melspec_std_62,log_melspec_std_63,log_melspec_std_64,loudness_slidingwindow_mean,loudness_slidingwindow_std
-14.886156,-23.258303,-28.828094,-33.283867,-36.63695,-39.701885,-40.908424,-42.16126,-43.90817,-45.306477,-46.676247,-48.853054,-49.080776,-51.040714,-51.482113,-51.982098,-52.035362,-53.19925,-55.08705,-56.61869,-56.093044,-56.21327,-56.806297,-56.81691,-59.036297,-58.39929,-59.696445,-60.71548,-60.809372,-61.561184,-62.60384,-63.75351,-64.29828,-65.21139,-65.87806,-68.58053,-75.47926,-79.70481,-79.840775,-79.85418,-79.8658,-79.87637,-79.88627,-79.89565,-79.90464,-79.91331,-79.92169,-79.92983,-79.93774,-79.94543,-79.95288,-79.96011,-79.96711,-79.97386,-79.98032,-79.986496,-79.99233,-79.997795,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,15.069238,15.024928,14.757282,14.646567,14.102308,13.228532,12.917273,12.250777,12.170401,12.119725,11.761654,12.289708,11.840975,12.064148,12.192623,11.567597,10.969576,11.436369,12.275896,12.439422,13.556821,13.91898,14.599101,13.895172,13.577472,13.294222,13.504605,12.621737,13.023081,12.883415,12.924807,11.856206,11.812634,11.716163,11.583008,12.191285,9.285289,2.296523,1.863709,1.7067574,1.5707468,1.4470084,1.3312701,1.2213653,1.1161566,1.0147257,0.9165522,0.82129,0.728811,0.63883376,0.5515355,0.46687022,0.38495582,0.3060284,0.23024523,0.15802567,0.08969709,0.025797928,0.0,0.0,0.0,0.0,0.0,0.0,-30.82693956457781,4.9664944049184925
-32.213253,-32.19378,-33.649742,-31.62876,-26.865906,-28.785889,-39.14517,-39.957,-41.04025,-39.374268,-39.26926,-37.647896,-37.742996,-39.223255,-40.01121,-41.23173,-41.864597,-41.97872,-41.54751,-41.459312,-40.55047,-39.996494,-40.51401,-40.850388,-41.563175,-41.254272,-42.263107,-44.634468,-45.63469,-44.65536,-43.750328,-46.597683,-47.584484,-47.773193,-47.829983,-51.013206,-62.494843,-79.923,-79.977135,-79.98138,-79.985,-79.988205,-79.991104,-79.99377,-79.99622,-79.998505,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,8.264452,9.33919,9.249668,9.026207,9.737374,9.693109,8.439245,8.411031,8.863309,8.726168,9.203136,10.368538,10.2682,9.40695,9.441172,9.007059,8.629079,8.7360525,8.560845,8.2502,8.976257,9.640583,9.724362,9.941801,9.846622,10.234511,9.17168,8.024244,7.754653,8.030406,8.586087,8.378609,7.988289,7.9209313,7.8740435,7.336617,6.919188,0.73265606,0.47085297,0.38340768,0.30882233,0.24283601,0.18309705,0.12832204,0.07779461,0.030918533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.924842553399127,5.082410927633641
-10.548471,-35.99529,-40.206234,-39.9076,-42.414394,-42.999485,-44.262623,-47.239292,-48.08037,-48.93884,-49.664684,-51.23282,-51.256065,-51.14882,-50.931984,-48.416164,-48.0443,-48.894554,-49.00015,-50.49373,-51.334244,-52.21879,-54.458317,-54.576797,-56.22987,-57.66168,-59.192776,-59.368084,-58.819027,-57.209785,-57.842716,-57.22138,-57.17883,-55.86277,-56.937534,-58.338097,-65.12272,-79.845375,-79.9326,-79.94297,-79.95194,-79.960075,-79.96768,-79.972115,-79.97556,-79.97889,-79.98211,-79.98524,-79.98827,-79.99123,-79.99409,-79.996864,-79.99956,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,11.547463,8.826341,7.2946143,6.960203,6.6969624,6.5505085,6.7474694,6.176604,5.7721834,5.763513,5.6592693,5.682184,5.653662,5.5864105,6.333807,7.2388034,7.4721313,6.8192725,6.6804457,6.6274557,7.481832,7.3399377,7.0049872,7.23623,7.273874,6.433344,6.185223,6.4817724,6.790277,6.3845763,6.5544662,6.564594,6.0389752,5.755403,6.0365453,5.5908933,4.9147816,1.2782708,0.98974127,0.8656134,0.76235354,0.6733335,0.5960962,0.5276787,0.46235996,0.39939627,0.3384604,0.27932957,0.22192982,0.16607732,0.11188431,0.0593166,0.00845542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.001059276905043,2.495189480892384
-10.116969,-25.811708,-32.765472,-36.752068,-40.73059,-43.220337,-46.121777,-47.941284,-50.4797,-52.359818,-53.005466,-54.29569,-55.76117,-58.02952,-58.602867,-58.63337,-58.68209,-60.37734,-61.59531,-63.12961,-63.284878,-64.512184,-64.46821,-66.03518,-65.66505,-66.29203,-66.96105,-68.478645,-68.614624,-69.00041,-70.58012,-70.66467,-70.436104,-70.923256,-71.6413,-74.376366,-79.31231,-79.76674,-79.785355,-79.7983,-79.80961,-79.81987,-79.82937,-79.83829,-79.84668,-79.854614,-79.862114,-79.86921,-79.8759,-79.88223,-79.88816,-79.89372,-79.898895,-79.903694,-79.90812,-79.91218,-79.91585,-79.91915,-79.92207,-79.924614,-79.926765,-79.928505,-79.92981,-79.93064,12.649279,11.388547,10.343126,9.95386,10.304642,10.119085,9.285699,8.779558,8.0246525,7.6052284,7.4203634,7.666292,7.3782625,6.9310026,7.0869308,6.6045136,6.9629645,6.9702578,7.2615848,7.6723275,6.1597133,6.5427256,6.276265,6.342493,6.6923375,6.3654733,6.014544,5.981946,5.880867,6.2281013,6.069191,5.6043196,5.440792,5.1182294,5.0378747,5.136022,3.6440148,2.5514772,2.3507977,2.211308,2.089692,1.9795221,1.8774921,1.7819781,1.6922044,1.6074855,1.5274779,1.4519519,1.3808528,1.3138944,1.2512382,1.1927278,1.1383625,1.0881556,1.0419934,0.99994814,0.9619022,0.92789394,0.8979006,0.8719281,0.8500493,0.8323915,0.81918275,0.8108461,-25.62153256003846,2.6268415236616467
-21.612446,-41.78974,-48.780376,-50.776047,-52.075554,-42.817852,-46.544277,-56.328827,-56.42248,-57.386852,-58.03526,-58.724476,-60.115643,-59.72205,-59.51824,-59.67919,-59.97056,-59.48121,-60.146164,-59.7116,-60.097633,-60.413357,-61.49372,-63.783546,-65.51973,-65.22653,-65.15717,-66.37818,-66.24288,-67.32812,-67.56765,-67.56399,-69.55876,-69.43282,-68.88545,-69.53207,-76.21013,-79.801476,-79.82702,-79.84463,-79.85982,-79.873474,-79.88605,-79.897766,-79.90872,-79.919014,-79.92809,-79.93265,-79.93691,-79.94092,-79.94465,-79.94813,-79.95135,-79.954315,-79.95704,-79.95952,-79.961754,-79.96375,-79.965515,-79.96704,-79.96832,-79.96936,-79.97014,-79.97063,14.942724,13.043971,14.304152,11.914253,11.094285,9.436587,9.131153,10.699186,10.062066,9.441732,9.199788,9.342202,8.575247,8.154065,7.5008054,7.092796,7.357414,7.10731,7.0739884,7.4049563,7.883008,7.786754,7.4505706,7.892913,8.343239,7.8318095,7.420967,8.227249,7.885631,7.7045407,7.383983,6.676932,6.9391828,6.5663114,6.0979466,5.58032,5.065533,1.9783427,1.7559453,1.6054808,1.4780866,1.3660061,1.2654508,1.1746604,1.0928478,1.019392,0.95394444,0.89356863,0.83695203,0.7838163,0.73426306,0.6881346,0.64539087,0.6060135,0.56988364,0.53703153,0.5073508,0.48084727,0.45747852,0.4372549,0.4202164,0.4064654,0.39618033,0.38967913,-31.011400350210184,5.900052386592453
-14.176652,-41.151535,-49.664387,-54.749683,-58.970844,-61.18345,-63.25036,-65.85972,-66.85441,-67.20244,-68.2022,-68.852776,-68.74704,-69.1947,-69.50344,-69.90165,-69.8214,-70.82371,-71.06189,-71.07613,-70.92425,-70.9044,-71.24744,-71.491295,-71.65127,-71.53644,-72.30328,-72.51885,-73.32419,-73.47014,-73.70418,-74.110245,-73.806526,-74.70388,-74.4643,-75.41877,-79.05451,-79.83479,-79.85594,-79.87068,-79.883545,-79.89521,-79.90602,-79.916145,-79.92567,-79.932495,-79.936745,-79.94077,-79.944565,-79.94816,-79.95152,-79.954666,-79.95761,-79.96033,-79.96284,-79.965126,-79.96721,-79.969086,-79.97074,-79.972176,-79.97339,-79.97438,-79.97511,-79.97558,16.537325,10.786015,10.398533,8.572471,8.18822,8.202722,8.223852,8.225792,7.9979763,8.220508,8.37754,8.662068,8.535382,8.1683235,8.199873,8.460768,7.935278,7.7523093,7.8527336,8.094894,8.483607,8.535474,8.501342,8.136679,8.400184,8.227826,7.674775,7.6062856,7.2084374,7.008352,6.9284215,7.003969,7.011992,6.4771166,6.372917,5.81619,3.1602933,1.8300452,1.633511,1.4997479,1.3858103,1.285363,1.1952909,1.1141822,1.04145,0.97597927,0.91441154,0.8561958,0.80127263,0.74944574,0.7008211,0.6552916,0.6128609,0.573549,0.5372797,0.50411975,0.4740129,0.44698808,0.4230542,0.40226272,0.3846819,0.37044677,0.35977265,0.3530125,-31.51365774830778,4.303093938478013
-30.836346,-31.742168,-35.36268,-35.182575,-36.420296,-34.325485,-35.906666,-38.661613,-42.210964,-43.628662,-44.66139,-45.234814,-47.413807,-48.03797,-49.00737,-50.01548,-50.550343,-50.098045,-50.46783,-50.794838,-49.585426,-49.164284,-48.801643,-49.43023,-48.116642,-48.672447,-49.406555,-49.41459,-49.53918,-49.953224,-49.87594,-51.272316,-52.01001,-52.029602,-49.909,-49.80515,-56.5483,-77.04713,-79.803665,-79.81316,-79.82164,-79.82942,-79.83671,-79.84358,-79.8501,-79.85629,-79.86218,-79.86778,-79.8731,-79.87815,-79.88291,-79.8874,-79.8916,-79.89552,-79.899155,-79.902504,-79.90556,-79.90831,-79.91077,-79.91292,-79.914734,-79.916214,-79.91732,-79.91803,14.344571,16.794186,14.869506,16.906733,16.873922,19.257954,18.942844,19.739683,17.194805,16.609852,15.7603,16.019314,14.456977,13.989124,13.540265,14.412101,14.296048,15.141715,14.459437,14.716129,15.019676,15.126348,14.920004,14.156229,13.696554,13.028563,13.12042,12.54778,12.966949,13.399125,12.380451,11.449112,10.423872,9.977534,12.1186495,13.071327,12.329325,5.5212436,2.4757025,2.3558924,2.249079,2.1509163,2.059047,1.972308,1.8901529,1.8120608,1.7377769,1.6671295,1.6001008,1.5364877,1.4764515,1.419901,1.3668805,1.3174527,1.2715818,1.2293926,1.190864,1.1560968,1.1251513,1.0981327,1.0751905,1.0565501,1.0425327,1.03364,-30.75639122544375,10.202656592522041
-21.903267,-34.39056,-37.09997,-36.417034,-37.997604,-43.291496,-44.57944,-43.97619,-44.768208,-46.275753,-47.706196,-49.519653,-50.90373,-51.440945,-53.63195,-53.75529,-55.13611,-55.58343,-56.14899,-54.318962,-53.322758,-55.64717,-55.97749,-56.045116,-56.12452,-57.003574,-59.934326,-60.071472,-60.55104,-61.897015,-61.08837,-62.30649,-64.40729,-65.526115,-66.88642,-70.11283,-76.298065,-79.840195,-79.869835,-79.887924,-79.90245,-79.91497,-79.92617,-79.93302,-79.93772,-79.94208,-79.94613,-79.94989,-79.953384,-79.956635,-79.95964,-79.9624,-79.96495,-79.96727,-79.96939,-79.9713,-79.97301,-79.97453,-79.97586,-79.97701,-79.977974,-79.978745,-79.97932,-79.97968,18.431658,15.836669,14.711654,13.330063,12.4487,11.409421,10.878171,10.530534,10.102398,9.624145,9.986825,10.5184355,10.410913,9.958182,11.24806,9.929501,10.548432,9.963683,9.993732,10.315392,11.632491,13.187416,11.9035225,11.811875,12.1800165,12.308912,12.5464735,13.227599,13.415701,13.0376215,12.943863,12.478667,11.769045,11.624051,11.160287,10.804338,6.6282334,1.7343769,1.4701146,1.3151356,1.1956716,1.0975012,1.0145217,0.9424736,0.8763267,0.815028,0.7580613,0.70508564,0.6559073,0.61020046,0.5679732,0.52901304,0.49321952,0.4605199,0.43074748,0.40388066,0.37977216,0.35838154,0.339637,0.32350352,0.30997354,0.29909456,0.29098088,0.2858672,-27.32790292762852,6.542256793586379
-12.794789,-32.51925,-39.292557,-45.315125,-49.39842,-52.597282,-54.61831,-56.497807,-58.095016,-59.35369,-60.04208,-61.271034,-61.405647,-61.641018,-61.778164,-62.469105,-62.797684,-63.83119,-64.784515,-64.07343,-64.560326,-64.99343,-65.44621,-65.91875,-65.90992,-66.14517,-66.15009,-67.01974,-67.14531,-67.049484,-67.81198,-68.11887,-68.36012,-69.00673,-69.025055,-70.185776,-76.67711,-79.75306,-79.88078,-79.8968,-79.910995,-79.92403,-79.93243,-79.938194,-79.94366,-79.94887,-79.95382,-79.95855,-79.96304,-79.967316,-79.97135,-79.97516,-79.97874,-79.98208,-79.98518,-79.988045,-79.99066,-79.99303,-79.995125,-79.99696,-79.998535,-79.9998,-80.0,-80.0,15.220879,10.840163,9.781972,8.905568,8.591123,8.044915,7.652752,7.157066,7.1979713,7.0163956,7.0757823,7.300403,7.1446857,6.631085,7.0006466,6.9149456,7.0421066,7.498905,7.9888453,7.4066987,8.488329,9.011968,9.2926235,8.865448,8.033384,8.48553,9.185656,8.99212,8.538198,8.765009,8.735984,8.741815,8.884088,8.489841,8.297999,8.41349,7.768129,1.8297004,1.3416944,1.2120416,1.102369,1.007648,0.92395896,0.8451717,0.77043337,0.699269,0.63144034,0.5668143,0.50540197,0.4469792,0.39175844,0.33965704,0.29072332,0.24503438,0.20257579,0.16346021,0.12770097,0.09538962,0.06659831,0.041439146,0.020048086,0.0026637574,0.0,0.0,-26.620123488360626,1.2706518494019052
-10.721369,-29.697584,-34.067474,-37.412304,-39.986454,-41.448544,-43.734135,-45.560852,-46.913204,-47.582577,-48.632687,-49.59602,-50.41501,-51.151424,-52.134056,-52.984116,-52.759754,-53.3395,-53.114124,-52.806065,-51.69648,-52.89905,-54.878723,-54.40424,-56.097538,-56.66741,-58.341606,-58.940525,-58.943638,-59.203644,-59.647823,-58.03073,-57.13041,-58.03553,-59.177666,-60.23075,-67.48119,-79.72953,-79.929016,-79.93671,-79.943306,-79.94924,-79.95469,-79.95976,-79.9645,-79.96896,-79.97315,-79.97708,-79.980774,-79.98424,-79.987465,-79.99047,-79.993256,-79.99582,-79.99817,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,15.969903,12.188889,11.503018,11.889107,11.08392,10.01249,10.25733,9.988716,10.02402,9.724363,9.574256,9.399739,8.757591,9.201432,9.021299,8.941074,9.191548,9.611282,10.049014,10.074041,10.159715,10.241139,9.535836,9.474909,8.9447155,8.967556,8.884679,8.839703,8.927711,8.979325,8.6783,9.295837,10.275723,10.113986,9.63544,9.729235,8.503483,1.5896645,1.0113626,0.90180683,0.8077219,0.72328055,0.64561826,0.5733345,0.50574523,0.44226852,0.3825889,0.32649222,0.2739022,0.22456476,0.17856565,0.13575885,0.09610388,0.05958369,0.02608798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.300271504757628,1.9068554323338476
