,id,model,Datetime,point,path,isgood
469,e7dacad5835e6114,Xiaomi Mi A2 | 10,2021-04-06 10:54:00,spine04,./audio_files/20210406-105419-e7dacad5835e6114-spine04.wav,0
431,70c1ce00e5f9fa94,HUAWEI ANE-LX1 | 8.0.0,2021-03-18 16:08:00,chest04,./audio_files/20210318-160838-70c1ce00e5f9fa94-chest04.wav,0
668,72174c2362ec2988,Xiaomi Redmi Note 9 Pro | 10,2021-06-01 12:35:00,spine01,./audio_files/20210601-123507-72174c2362ec2988-spine01.wav,0
447,2e39c794afea25d7,Xiaomi Mi A2 | 10,2021-04-01 14:45:00,spine02,./audio_files/20210401-144554-2e39c794afea25d7-spine02.wav,2
1200,767927efd97ec9bc,Xiaomi Redmi Note 9 Pro | 10,2021-09-13 10:12:00,spine04,./audio_files/20210913-101254-767927efd97ec9bc-spine04.wav,0
1076,e7691c48a45c9856,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 15:57:00,spine04,./audio_files/20210713-155723-e7691c48a45c9856-spine04.wav,0
1481,8a0a7454f0880e08,Xiaomi Redmi Note 9 Pro | 11,2021-11-07 18:31:00,spine03,./audio_files/20211107-183128-8a0a7454f0880e08-spine03.wav,0
350,25dada732493c6e4,Xiaomi Mi A2 | 10,2021-02-04 12:05:00,chest02,./audio_files/20210204-120503-25dada732493c6e4-chest02.wav,0
1098,9f5eb2ea6c5ff862,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 16:11:00,spine01,./audio_files/20210713-161121-9f5eb2ea6c5ff862-spine01.wav,1
1241,7e6d2038a94e58e0,Xiaomi Redmi Note 9 Pro | 10,2021-09-14 10:33:00,chest01,./audio_files/20210914-103309-7e6d2038a94e58e0-chest01.wav,0
872,42ac2bc24987aee7,Xiaomi Redmi Note 9 Pro | 10,2021-07-06 11:52:00,chest02,./audio_files/20210706-115238-42ac2bc24987aee7-chest02.wav,0
1085,297cfbbcc95f1193,Xiaomi Redmi Note 9 Pro | 10,2021-07-13 16:09:00,chest02,./audio_files/20210713-160900-297cfbbcc95f1193-chest02.wav,1
354,94547a049fa0df1f,Xiaomi Mi A2 | 10,2021-02-05 10:47:00,chest02,./audio_files/20210205-104714-94547a049fa0df1f-chest02.wav,0
147,ba35918a396c3059,HUAWEI ANE-LX1 | 8.0.0,2019-09-09 16:28:00,spine05,./audio_files/20190909-162816-ba35918a396c3059-spine05.wav,0
